	(1)	(2)	(3)	(4)	(5)	(6)
	∆Pay	∆Rec	∆Pay	∆Rec	∆Pay	∆Rec
VARIABLES	Pay∆	Rec∆	Pay∆	Rec∆	Pay∆	Rec∆
						
Climate	0.0337***	0.0393***	0.0493***	0.0729***	0.0189***	0.0189**
	(0.0097)	(0.0113)	(0.0097)	(0.0112)	(0.0069)	(0.0076)
Climate×Inv	-0.0185*	-0.0279**				
	(0.0110)	(0.0128)				
Size	-0.0078**	0.0138***	-0.0076**	0.0140***	-0.0074**	0.0117***
	(0.0033)	(0.0031)	(0.0033)	(0.0030)	(0.0033)	(0.0031)
Lev	-0.0296**	0.0311**	-0.0297**	0.0251*	-0.0177	0.0313**
	(0.0135)	(0.0136)	(0.0135)	(0.0138)	(0.0140)	(0.0143)
Inv	-0.2257***	0.0077	-0.2076***	0.0130	-0.1896***	0.0149
	(0.0319)	(0.0248)	(0.0321)	(0.0248)	(0.0330)	(0.0253)
Ppe	-0.1712***	-0.0511***	-0.1682***	-0.0528***	-0.1586***	-0.0481***
	(0.0191)	(0.0146)	(0.0192)	(0.0147)	(0.0202)	(0.0153)
Firmage	0.0149	-0.0732***	0.0137	-0.0723***	0.0126	-0.0645***
	(0.0161)	(0.0156)	(0.0162)	(0.0156)	(0.0160)	(0.0157)
Board	-0.0020	0.0015	-0.0020	0.0005	0.0031	0.0042
	(0.0123)	(0.0133)	(0.0125)	(0.0136)	(0.0129)	(0.0142)
Occupy	0.0004	-0.2664***	0.0115	-0.2667***	0.0502	-0.2331**
	(0.1043)	(0.0893)	(0.1059)	(0.0904)	(0.1086)	(0.0916)
Indep	-0.0003	-0.0004	-0.0005	-0.0004	-0.0003	-0.0003
	(0.0004)	(0.0004)	(0.0004)	(0.0004)	(0.0004)	(0.0004)
S_Climate	0.0140	-0.0396	0.0093	-0.0354	0.0177	-0.0284
	(0.0266)	(0.0259)	(0.0271)	(0.0262)	(0.0287)	(0.0281)
C_Climate	0.0609***	0.0841***	0.0638***	0.0809***	0.0547**	0.0734***
	(0.0229)	(0.0249)	(0.0237)	(0.0258)	(0.0259)	(0.0284)
Climate×Bank			-0.2125***	-0.3896***		
			(0.0487)	(0.0523)		
Climate×Interest					-0.5271***	-0.5558***
					(0.1959)	(0.1561)
Constant	0.2442***	-0.0567	0.2474***	-0.0596	0.2205**	-0.0535
	(0.0871)	(0.0858)	(0.0874)	(0.0861)	(0.0889)	(0.0884)
						
Observations	138,809	138,809	128,400	128,400	110,946	110,946
Adjusted R-squared	0.5041	0.4799	0.5046	0.4801	0.5017	0.4700
Firm FE	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
