	(1)	(2)	(3)	(4)
VARIABLES	Ter_q_q1	Ter_q_q2	Ter_q_q3	Ter_q_q4
				
Affected×S_FC	0.0557	0.1479	0.8235**	0.6426
	(0.3488)	(0.4529)	(0.3972)	(0.4135)
Affected	0.3151*	0.6150***	0.2045	-0.2410
	(0.1636)	(0.2132)	(0.2053)	(0.1934)
S_FC	-0.3499	-0.0280	-0.0572	-0.3315
	(0.2227)	(0.3074)	(0.2935)	(0.3156)
C_Size	0.4307**	0.9190***	0.9541***	1.4564***
	(0.1979)	(0.2691)	(0.3284)	(0.3707)
C_Lev	0.7867	-2.0420**	-1.6486	-2.5228*
	(0.7088)	(0.9595)	(1.2553)	(1.4304)
C_Inv	0.9872	7.2174***	4.7013*	2.8505
	(1.5616)	(2.5717)	(2.7296)	(2.4111)
C_Ppe	-1.3576	-0.2044	0.8885	3.2826*
	(0.9299)	(1.2330)	(1.4490)	(1.7853)
C_Firmage	-2.6283*	1.2905	1.8754	1.9356
	(1.5466)	(1.5729)	(2.0979)	(2.5367)
C_Board	-0.0889	-0.8817	-0.9566	-1.1063
	(0.4594)	(0.7910)	(0.6994)	(0.7732)
C_Occupy	-3.7492	-5.2642	-4.5657	-1.6267
	(8.7056)	(7.4393)	(10.3927)	(7.1113)
C_Indep	0.0043	-0.0228	-0.0316	-0.0450**
	(0.0138)	(0.0308)	(0.0287)	(0.0229)
C_Frequency	-0.1134	-0.0414	-0.2898	0.5481
	(0.2790)	(0.3049)	(0.3040)	(0.3778)
C_Duration	-0.0315***	-0.0325**	-0.0164	-0.0285
	(0.0106)	(0.0147)	(0.0174)	(0.0205)
Climate_CityC	-0.1964	-0.6401*	-0.4236*	0.1149
	(0.2394)	(0.3581)	(0.2237)	(0.2147)
Constant	-1.7420	-21.9842***	-24.2338**	-36.1363***
	(6.2010)	(7.4730)	(10.8516)	(12.4851)
				
Observations	5,398	4,943	4,559	4,402
Adjusted R-squared	0.002	0.041	0.008	0.013
Firm FE	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
