	(1)	(2)	(3)	(4)
VARIABLES	New_q_q1	New_q_q2	New_q_q3	New_q_q4
				
Affected×S_FC	0.1579*	0.2577**	0.0778	0.2864**
	(0.0890)	(0.1073)	(0.1232)	(0.1236)
Affected	-0.0028	-0.0648	-0.0007	0.0027
	(0.0359)	(0.0443)	(0.0408)	(0.0463)
S_FC	-0.1006	-0.1386*	-0.0271	-0.2100**
	(0.0642)	(0.0788)	(0.0964)	(0.0854)
C_Size	0.0750	0.1581**	0.0899	0.1659**
	(0.0625)	(0.0700)	(0.0730)	(0.0764)
C_Lev	-0.1451	-0.3173	-0.1476	-0.0855
	(0.2083)	(0.2307)	(0.2360)	(0.2484)
C_Inv	-0.8028	0.2728	-0.6390	-0.8318
	(0.5060)	(0.5626)	(0.5270)	(0.5340)
C_Ppe	0.1403	0.0632	0.4464	0.3900
	(0.3129)	(0.4050)	(0.4425)	(0.4497)
C_Firmage	0.0772	0.0096	0.2781	-0.3406
	(0.3320)	(0.4292)	(0.4088)	(0.5007)
C_Board	-0.1644	-0.2242	-0.2344	-0.2320
	(0.1258)	(0.1806)	(0.2157)	(0.2087)
C_Occupy	0.2875	0.5529	1.5520	1.0474
	(0.7022)	(0.9245)	(1.3283)	(0.9360)
C_Indep	-0.0001	-0.0002	0.0030	0.0034
	(0.0035)	(0.0037)	(0.0056)	(0.0056)
C_Frequency	0.0880	0.0322	-0.0912	-0.0696
	(0.0969)	(0.1332)	(0.1418)	(0.1593)
C_Duration	0.0428***	0.0490***	0.0524***	0.0528***
	(0.0046)	(0.0057)	(0.0060)	(0.0064)
Climate_CityC	-0.1106**	-0.1442**	-0.0489	-0.0417
	(0.0561)	(0.0688)	(0.0471)	(0.0496)
Constant	-1.9199	-3.5384*	-2.8685	-2.7898
	(1.6852)	(2.0437)	(1.9510)	(2.2054)
				
Observations	5,398	4,943	4,559	4,402
Adjusted R-squared	0.050	-0.004	0.012	0.014
Firm FE	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
