	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	S_∆Rec	S_∆Rec	S_∆Rec	S_∆Rec	C_∆Pay	C_∆Pay	C_∆Pay	C_∆Pay
								
Climate	0.0486**	0.0467**	0.0379*	0.0378*	0.0227**	0.0224**	0.0223**	0.0220*
	(0.0190)	(0.0214)	(0.0221)	(0.0221)	(0.0107)	(0.0113)	(0.0113)	(0.0113)
Climate_CityS			0.0574***	0.0574***				
			(0.0219)	(0.0219)				
S_Frequency				0.0688				
				(0.1570)				
S_Duration				-0.0003				
				(0.0020)				
S_Size	0.0279	0.0115	0.0106	0.0093				
	(0.0271)	(0.0529)	(0.0527)	(0.0527)				
S_Lev	-0.0172	0.1867	0.1835	0.1821				
	(0.1015)	(0.1557)	(0.1547)	(0.1552)				
S_Inv	-0.1000	-0.0229	-0.0477	-0.0449				
	(0.1994)	(0.3081)	(0.3075)	(0.3080)				
S_Ppe	-0.0508	-0.0404	-0.0384	-0.0334				
	(0.1142)	(0.1807)	(0.1797)	(0.1808)				
S_Firmage	-0.0334	-0.4467	-0.4404	-0.4457				
	(0.1823)	(0.3407)	(0.3414)	(0.3414)				
S_Board	-0.0175	-0.0947	-0.0987	-0.0962				
	(0.1080)	(0.1564)	(0.1560)	(0.1561)				
S_Occupy	1.2874*	1.8440*	1.8682*	1.8558*				
	(0.7713)	(1.1160)	(1.1174)	(1.1171)				
S_Indep	0.0001	-0.0018	-0.0019	-0.0019				
	(0.0022)	(0.0032)	(0.0032)	(0.0032)				
C_Size					-0.0007	-0.0090	-0.0090	-0.0098
					(0.0104)	(0.0123)	(0.0123)	(0.0122)
C_Lev					-0.1126***	-0.1191**	-0.1191**	-0.1188**
					(0.0397)	(0.0462)	(0.0462)	(0.0462)
C_Inv					-0.2345**	-0.3604***	-0.3603***	-0.3646***
					(0.0967)	(0.1101)	(0.1101)	(0.1100)
C_Ppe					-0.1657**	-0.1817**	-0.1818**	-0.1798**
					(0.0660)	(0.0716)	(0.0716)	(0.0717)
C_Firmage					-0.0468	0.0268	0.0266	0.0287
					(0.0751)	(0.0866)	(0.0866)	(0.0866)
C_Board					0.0061	0.0151	0.0152	0.0146
					(0.0351)	(0.0366)	(0.0366)	(0.0366)
C_Occupy					-0.6345**	-0.6521**	-0.6519**	-0.6474**
					(0.2849)	(0.3077)	(0.3077)	(0.3078)
C_Indep					0.0003	0.0012	0.0012	0.0012
					(0.0009)	(0.0010)	(0.0010)	(0.0010)
Climate_CityC							0.0013	0.0014
							(0.0104)	(0.0104)
C_Frequency								0.0171
								(0.0340)
C_Duration								-0.0009
								(0.0008)
Constant	-0.4841	1.2869	1.2787	1.2510	0.2926	0.2335	0.2324	0.2337
	(0.8707)	(1.4939)	(1.4924)	(1.4965)	(0.3150)	(0.3625)	(0.3623)	(0.3631)
								
Observations	6,441	6,392	6,392	6,392	21,061	21,026	21,026	21,026
Adjusted R-squared	0.452	0.432	0.434	0.433	0.596	0.595	0.595	0.595
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES	YES	YES
Indu_Year FE	NO	YES	YES	YES	NO	YES	YES	YES
Prov_Year FE	NO	YES	YES	YES	NO	YES	YES	YES
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
