	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	RiskT1	RiskT2	RiskT3	RiskT1	RiskT2	RiskT3
						
Climate×∆Pay	-0.0006**	-0.0014***	-0.0038***			
	(0.0002)	(0.0004)	(0.0009)			
Climate	0.0003	0.0000	-0.0001	0.0004**	0.0000	-0.0002
	(0.0002)	(0.0004)	(0.0008)	(0.0002)	(0.0003)	(0.0008)
Pay∆	0.0021***	0.0016***	0.0036***			
	(0.0003)	(0.0003)	(0.0007)			
Size	-0.0068***	-0.0098***	-0.0226***	-0.0069***	-0.0098***	-0.0226***
	(0.0005)	(0.0019)	(0.0043)	(0.0005)	(0.0019)	(0.0043)
Lev	0.0224***	0.0348***	0.0770***	0.0222***	0.0346***	0.0766***
	(0.0021)	(0.0059)	(0.0134)	(0.0021)	(0.0059)	(0.0134)
Inv	-0.0172***	0.0234**	0.0647***	-0.0175***	0.0232**	0.0643***
	(0.0028)	(0.0110)	(0.0248)	(0.0028)	(0.0110)	(0.0248)
Ppe	0.0052**	-0.0320***	-0.0648***	0.0050**	-0.0321***	-0.0649***
	(0.0023)	(0.0077)	(0.0173)	(0.0023)	(0.0077)	(0.0173)
Firmage	0.0070***	0.0412***	0.0998***	0.0072***	0.0413***	0.0999***
	(0.0025)	(0.0110)	(0.0248)	(0.0025)	(0.0110)	(0.0248)
Board	-0.0001	0.0006	0.0000	-0.0001	0.0006	0.0000
	(0.0016)	(0.0058)	(0.0131)	(0.0016)	(0.0058)	(0.0131)
Occupy	0.0964***	0.0480*	0.1073*	0.0970***	0.0485*	0.1084*
	(0.0117)	(0.0289)	(0.0649)	(0.0117)	(0.0289)	(0.0649)
Indep	0.0001*	0.0000	0.0001	0.0001*	0.0000	0.0001
	(0.0000)	(0.0002)	(0.0004)	(0.0000)	(0.0002)	(0.0004)
S_Climate	-0.0007	-0.0040	-0.0096	-0.0006	-0.0040	-0.0095
	(0.0014)	(0.0045)	(0.0102)	(0.0014)	(0.0045)	(0.0102)
C_Climate	0.0015	-0.0039	-0.0073	0.0015	-0.0040	-0.0073
	(0.0012)	(0.0037)	(0.0083)	(0.0012)	(0.0037)	(0.0083)
Climate×∆Rec				-0.0011***	-0.0014***	-0.0035***
				(0.0002)	(0.0004)	(0.0008)
Rec∆				0.0021***	0.0017***	0.0037***
				(0.0003)	(0.0003)	(0.0006)
Constant	0.1407***	0.1933***	0.4337***	0.1414***	0.1937***	0.4345***
	(0.0144)	(0.0527)	(0.1195)	(0.0144)	(0.0527)	(0.1195)
						
Observations	131,181	133,300	134,220	131,181	133,300	134,220
Adjusted R-squared	0.475	0.548	0.560	0.475	0.548	0.560
Firm FE	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
