	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	F1∆Pay	F3∆Pay	F4∆Pay	F1∆Rec	F3∆Rec	F4∆Rec
						
Climate	0.0079*	0.0375	-0.0001	0.0138*	0.0185	0.0005
	(0.0042)	(0.0939)	(0.0014)	(0.0081)	(0.0656)	(0.0011)
Size	-0.0045	-0.3262	-0.0041	-0.0109	0.0814	0.0152***
	(0.0055)	(0.3421)	(0.0038)	(0.0180)	(0.1292)	(0.0028)
Lev	0.0914***	0.0539	-0.1069***	0.2125***	0.6474	-0.0520***
	(0.0231)	(0.4323)	(0.0139)	(0.0657)	(0.4869)	(0.0114)
Inv	-0.4103***	-0.2470	-0.2022***	-0.7576***	-0.1259	0.0411*
	(0.0499)	(0.7901)	(0.0299)	(0.1814)	(0.4592)	(0.0219)
Ppe	-0.1710***	-1.5273	-0.2152***	-0.2650***	0.4383	-0.0436***
	(0.0257)	(1.2107)	(0.0207)	(0.0708)	(0.7007)	(0.0135)
Firmage	-0.0395	0.6634	0.0300*	-0.1346**	-0.1783	-0.0434***
	(0.0248)	(0.9290)	(0.0178)	(0.0588)	(0.2512)	(0.0158)
Board	0.0118	-0.8131	-0.0057	0.0255	0.5760	0.0094
	(0.0187)	(0.6794)	(0.0133)	(0.0464)	(0.6410)	(0.0113)
Occupy	-0.2382*	-1.8700	-0.0062	-0.9736***	0.8943	-0.0881
	(0.1409)	(2.4128)	(0.0884)	(0.2952)	(1.3369)	(0.0677)
Indep	-0.0002	-0.0135	0.0004	-0.0010	0.0023	0.0000
	(0.0006)	(0.0220)	(0.0004)	(0.0018)	(0.0078)	(0.0004)
S_Climate	0.0405**	-1.5185	0.0120	0.0714*	0.1165	-0.0045
	(0.0187)	(1.2086)	(0.0160)	(0.0379)	(0.2594)	(0.0098)
C_Climate	0.0043	0.1431	-0.0125	0.0789	0.2508	0.0027
	(0.0191)	(0.3254)	(0.0099)	(0.0599)	(0.1855)	(0.0083)
Constant	0.3304**	8.0168	0.1369	0.8216*	-2.7687	-0.1878**
	(0.1335)	(7.3449)	(0.1003)	(0.4551)	(4.9359)	(0.0790)
						
Observations	134,516	134,470	130,591	134,516	134,470	130,591
Adjusted R-squared	0.481	0.050	0.084	0.225	0.053	0.099
Firm FE	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
