	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	S_RiskT1	S_RiskT2	S_RiskT3	C_RiskT1	C_RiskT2	C_RiskT3
						
Climate×S_∆Rec	-0.0027*	-0.0083***	-0.0203***			
	(0.0014)	(0.0030)	(0.0071)			
S_∆Rec	0.0051***	0.0168***	0.0367***			
	(0.0014)	(0.0033)	(0.0077)			
Climate	0.0026**	0.0063**	0.0141*	0.0011*	0.0007	0.0004
	(0.0010)	(0.0029)	(0.0077)	(0.0006)	(0.0017)	(0.0037)
S_Size	-0.0123*	-0.0005	0.0011			
	(0.0072)	(0.0088)	(0.0185)			
S_Lev	0.0191*	-0.0184	-0.0279			
	(0.0106)	(0.0292)	(0.0588)			
S_Inv	-0.0696**	0.0232	-0.0961			
	(0.0313)	(0.0725)	(0.1922)			
S_Ppe	0.0023	-0.0622	-0.1508*			
	(0.0140)	(0.0402)	(0.0900)			
S_Firmage	-0.0033	-0.0021	0.0330			
	(0.0243)	(0.0773)	(0.1681)			
S_Board	-0.0002	0.0016	-0.0021			
	(0.0013)	(0.0026)	(0.0055)			
S_Occupy	-0.0352	0.0189	-0.0438			
	(0.1169)	(0.2131)	(0.4910)			
S_Indep	-0.0001	0.0001	-0.0004			
	(0.0004)	(0.0007)	(0.0014)			
S_Frequency	-0.0186	-0.0071	0.0621			
	(0.0222)	(0.0220)	(0.0511)			
S_Duration	0.0002	-0.0015***	0.0008			
	(0.0001)	(0.0005)	(0.0009)			
Climate_CityS	0.0010	0.0007	-0.0011			
	(0.0008)	(0.0024)	(0.0057)			
Climate×C_∆Pay				-0.0016*	-0.0032*	-0.0070*
				(0.0009)	(0.0018)	(0.0040)
C_∆Pay				0.0031***	0.0043***	0.0073**
				(0.0010)	(0.0015)	(0.0032)
C_Size				-0.0079***	-0.0070	-0.0263*
				(0.0022)	(0.0070)	(0.0146)
C_Lev				0.0237***	0.0265	0.0234
				(0.0068)	(0.0162)	(0.0332)
C_Inv				-0.0297***	0.0748	0.2862***
				(0.0105)	(0.0513)	(0.0951)
C_Ppe				-0.0014	-0.0880***	-0.1834***
				(0.0081)	(0.0309)	(0.0642)
C_Firmage				0.0219*	0.0294	0.0341
				(0.0129)	(0.0797)	(0.1731)
C_Board				0.0023	-0.0069	-0.0470
				(0.0061)	(0.0210)	(0.0475)
C_Occupy				0.0663**	0.0975	0.1052
				(0.0257)	(0.0841)	(0.1776)
C_Indep				0.0003**	0.0000	-0.0003
				(0.0001)	(0.0005)	(0.0011)
C_Frequency				-0.0018	0.0002	-0.0115
				(0.0017)	(0.0099)	(0.0222)
C_Duration				-0.0000	0.0010**	0.0019**
				(0.0001)	(0.0004)	(0.0009)
Climate_CityC				0.0000	0.0011	0.0027
				(0.0004)	(0.0012)	(0.0025)
Constant	0.3377*	0.3617	0.6778	0.1124*	0.1990	0.8919
	(0.1932)	(0.3148)	(0.7114)	(0.0644)	(0.3094)	(0.6653)
						
Observations	6,159	6,231	6,231	11,630	11,580	11,470
Adjusted R-squared	0.6043	0.9093	0.9074	0.5391	0.7369	0.7088
Firm FE	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
