	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
	∆Pay	∆Rec	∆Pay	∆Rec	∆Pay	∆Rec	∆Pay	∆Rec
VARIABLES	Pay∆	Rec∆	Pay∆	Rec∆	Pay∆	Rec∆	Pay∆	Rec∆
								
Climate0_1	0.0175***	0.0173***						
	(0.0060)	(0.0066)						
Size	-0.0079**	0.0137***	-0.0089***	0.0140***	-0.0079**	0.0138***	-0.0078**	0.0138***
	(0.0033)	(0.0031)	(0.0033)	(0.0031)	(0.0033)	(0.0031)	(0.0033)	(0.0031)
Lev	-0.0297**	0.0311**	-0.0291**	0.0323**	-0.0298**	0.0308**	-0.0297**	0.0312**
	(0.0135)	(0.0137)	(0.0136)	(0.0138)	(0.0135)	(0.0137)	(0.0135)	(0.0137)
Inv	-0.2251***	0.0082	-0.2306***	0.0011	-0.2252***	0.0079	-0.2250***	0.0084
	(0.0319)	(0.0248)	(0.0321)	(0.0253)	(0.0319)	(0.0248)	(0.0319)	(0.0248)
Ppe	-0.1738***	-0.0535***	-0.1731***	-0.0521***	-0.1735***	-0.0530***	-0.1739***	-0.0536***
	(0.0190)	(0.0149)	(0.0191)	(0.0151)	(0.0190)	(0.0149)	(0.0190)	(0.0149)
Firmage	0.0150	-0.0729***	0.0156	-0.0677***	0.0153	-0.0723***	0.0149	-0.0730***
	(0.0161)	(0.0156)	(0.0164)	(0.0159)	(0.0161)	(0.0155)	(0.0161)	(0.0156)
Board	-0.0022	0.0014	-0.0028	0.0025	-0.0019	0.0019	-0.0022	0.0015
	(0.0123)	(0.0133)	(0.0124)	(0.0135)	(0.0123)	(0.0133)	(0.0123)	(0.0133)
Occupy	0.0023	-0.2653***	0.0106	-0.2719***	0.0004	-0.2687***	0.0009	-0.2664***
	(0.1044)	(0.0892)	(0.1053)	(0.0898)	(0.1045)	(0.0891)	(0.1043)	(0.0892)
Indep	-0.0003	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004
	(0.0004)	(0.0004)	(0.0004)	(0.0004)	(0.0004)	(0.0004)	(0.0004)	(0.0004)
S_Climate	0.0137	-0.0402	0.0143	-0.0424*	0.0141	-0.0402	0.0134	-0.0401
	(0.0267)	(0.0259)	(0.0268)	(0.0257)	(0.0267)	(0.0259)	(0.0267)	(0.0259)
C_Climate	0.0610***	0.0839***	0.0623***	0.0856***	0.0619***	0.0838***	0.0606***	0.0838***
	(0.0229)	(0.0249)	(0.0228)	(0.0250)	(0.0229)	(0.0249)	(0.0229)	(0.0249)
Climate95			0.0414***	0.0320***				
			(0.0074)	(0.0084)				
Downpour					0.0316***	0.0603***		
					(0.0103)	(0.0120)		
Climate_2							-0.0003	0.0002
							(0.0005)	(0.0005)
Climate							0.0246***	0.0167*
							(0.0088)	(0.0096)
Constant	0.2487***	-0.0534	0.2202**	-0.1146	0.2423***	-0.0724	0.2464***	-0.0552
	(0.0870)	(0.0859)	(0.0877)	(0.0879)	(0.0871)	(0.0860)	(0.0870)	(0.0858)
								
Observations	138,809	138,809	138,065	138,065	138,809	138,809	138,809	138,809
Adjusted R-squared	0.5040	0.4798	0.5047	0.4805	0.5041	0.4802	0.5041	0.4799
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
