	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
	∆Pay2	∆Rec2	∆Pay3	∆Rec3	∆Pay	∆Rec	∆Pay	∆Rec
VARIABLES	Pay2∆	Rec2∆	Pay3∆	Rec3∆	Pay∆	Rec∆	Pay∆	Rec∆
								
Climate	0.0309*	0.0381*	0.0364*	0.0451*	0.0212***	0.0175**	0.0151**	0.0140*
	(0.0177)	(0.0215)	(0.0214)	(0.0250)	(0.0064)	(0.0080)	(0.0060)	(0.0075)
Size	0.0739**	-0.2844***	-0.0129	0.2930***	-0.0078**	0.0141***	-0.0106***	0.0182***
	(0.0299)	(0.0351)	(0.0361)	(0.0359)	(0.0037)	(0.0036)	(0.0039)	(0.0037)
Lev	-2.2867***	1.6098***	-3.3094***	-1.7588***	-0.0348**	0.0344**	-0.0161	0.0061
	(0.1238)	(0.1459)	(0.1416)	(0.1469)	(0.0148)	(0.0157)	(0.0157)	(0.0164)
Inv	-2.9865***	-1.7414***	-2.4036***	2.7876***	-0.2660***	-0.0035	-0.3163***	0.1022***
	(0.2526)	(0.2563)	(0.2855)	(0.2741)	(0.0362)	(0.0293)	(0.0395)	(0.0368)
Ppe	-0.7604***	-0.6445***	-0.1459	0.6786***	-0.1875***	-0.0613***	-0.1735***	-0.0701***
	(0.1568)	(0.1682)	(0.1801)	(0.1784)	(0.0214)	(0.0176)	(0.0216)	(0.0182)
Firmage	0.3528***	0.4718**	0.5005***	-0.6355***	0.0146	-0.0700***	0.0228	-0.0729***
	(0.1353)	(0.1853)	(0.1696)	(0.2014)	(0.0176)	(0.0196)	(0.0177)	(0.0183)
Board	-0.0572	-0.0604	0.0180	0.1881	-0.0037	0.0062	0.0038	0.0097
	(0.0980)	(0.1193)	(0.1303)	(0.1369)	(0.0133)	(0.0162)	(0.0141)	(0.0173)
Occupy	1.4877**	-0.4043	2.1303**	2.9707***	-0.0131	-0.2349**	-0.1577	-0.2773**
	(0.6420)	(0.7895)	(0.8357)	(0.8436)	(0.1169)	(0.1044)	(0.1299)	(0.1215)
Indep	-0.0009	0.0028	0.0002	0.0021	-0.0004	-0.0003	0.0003	-0.0002
	(0.0027)	(0.0036)	(0.0035)	(0.0042)	(0.0004)	(0.0005)	(0.0004)	(0.0005)
S_Climate	0.2043	0.0435	0.1134	-0.0389	-0.0887	-0.0363	-0.0338	-0.0477
	(0.1268)	(0.1661)	(0.1535)	(0.1904)	(0.0552)	(0.0371)	(0.0241)	(0.0304)
C_Climate	-0.0817	-0.0192	-0.0371	0.2270	0.0520**	0.2465***	0.0613***	0.0685**
	(0.1038)	(0.1635)	(0.1216)	(0.1840)	(0.0244)	(0.0685)	(0.0215)	(0.0285)
Constant	-1.0038	4.7565***	0.5810	-4.9790***	0.2639***	-0.0825	0.2602***	-0.1745*
	(0.7277)	(0.9437)	(0.9613)	(1.0186)	(0.0955)	(0.1022)	(0.0978)	(0.1008)
								
Observations	137,032	138,542	105,112	98,999	117,701	100,360	94,630	94,630
Adjusted R-squared	0.0272	0.0902	0.0383	0.0552	0.5057	0.4598	0.5570	0.5199
Firm FE	YES	YES	YES	YES	YES	YES	YES	YES
Yq FE	YES	YES	YES	YES	YES	YES	YES	YES
Indu_Year FE	YES	YES	YES	YES	YES	YES	YES	YES
Prov_Year FE	YES	YES	YES	YES	YES	YES	YES	YES
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
